subject_id	subject_nr	timestamp
sid000024	1	REDACTED
sid000034	2	REDACTED
sid000009	3	REDACTED
sid000007	4	REDACTED
sid000013	5	REDACTED
sid000005	6	REDACTED
sid000120	7	REDACTED
sid000114	8	REDACTED
sid000134	9	REDACTED
sid000142	10	REDACTED
sid000535	11	REDACTED
sid000029	12	REDACTED
sid000560	13	REDACTED
sid000278	14	REDACTED
sid000522	15	REDACTED
sid000010	16	REDACTED
sid000020	17	REDACTED
sid000052	18	REDACTED
sid000021	19	REDACTED
sid000499	20	REDACTED
sid000416	21	REDACTED
